id,Name Franchise,Address,Description,Category,Number Whatsapp,Type Franchise,Facility,Price,Popularity Score,Target Market,Market Size,Risk rate (1-10),Return of Investment% (ROI) ((pendapatan-harga(investasi))/(harga(investasi))×100%,Pendapatan/3bulan,user potential,market share (Penjualan Perusahaan/Total Penjualan Pasar),harga jual produk,kuantitas pembelian/tahun,,
11,Antal,"Jl. Raya, Kota Semarang, 12345","At Antal we help professionals like you, leverage your career experience and your industry network, to develop an open-ended substantial income from the companies in your industry, by starting-up a high-end Recruitment company of your own. Recruitment is the world’s leading services industry, demand for mid-senior level talent is critical for both large and small companies, recruitment also brings appealing client fees, for example the income levels that of our recent partners have achieved in their first TWELVE MONTHS are in excess of 120K, making 'Year 2' earnings of greater than 250K their ambition.",Services & Repair,+62 716-690-9910,Kios,"Starter kit, operational support (IT setup, sales brochure, presentation material, all relevan stationery articles), terms and conditions document, smooth integration into Antal process and network with ongoing strategic and operational inputs)","Rp65,000,000",3,Junior high school students,"Rp3,000,000,000",7,-23%,"Rp50,000,000",30000,10.00%,"Rp1,000,000",1,,
12,Chicke'Nin,"Jl. Surya, Kota Semarang, 12345",chikenin opens a shihlin fried chicken snack franchise partnership with economical capital starting at 7 million. get a shihlin fried chicken snack business package and open your business with chikenin,Fast Food,+62 128-569-0044,Stand,"Complete Cooking Equipment, Deep Fryer Stove, Cooler Box, Brand Stickers and Wallpaper, Opening Banners and Banners, First Sales Raw Materials, Marketing Support","Rp21,500,000",4,Middle-aged,"Rp135,000,000",2,40%,"Rp30,000,000",100000,3.00%,"Rp15,000",3,,
13,Ramen iroha,"Jl. Pahlawan, Kota Jakarta, 98765","There are six stores in Japan and 12 FC stores in the world. So, of course we are confident in our Products. But if you provide normal taste Japanese ramen of RAMEN IROHA, the popularity may be temporary. So if you would like long term popularity, you need to adjust the taste of ramen to local taste and local culture. And ramen prices are different depending on the country.",Restaurant,+62 362-032-7675,Resto,"Location and venue rental for 1 year, complete equipment and cooking utensils, banners, employee training, business finance","Rp150,000,000",4,Workers,"Rp441,000,000",7,-3%,"Rp145,000,000",70000,7.00%,"Rp30,000",3,,
14,bamboo laundry,"Jl. Raya, Kota Jakarta, 43210",bamboo laundry provides laundry business packages with various business package options. you can open a laundry business without the hassle of equipment preparation because bamboo laundry provides a complete selection of laundry business packages starting at 13 million.,Cleaning services,+62 960-738-1483,Kios,"Full set training, promotion kit, 30 liters clothes detergen, 20 liters clothes softener, 10 liters clothes parfum, 2 pack packing plastic, complete washing equipment","Rp25,700,000",4,Married people,"Rp60,000,000",2,-3%,"Rp25,000,000",20000,3%,"Rp20,000",5,,
15,Dickey's barbecue pit,"Jl. Merdeka, Kota Jakarta, 43210","Dickey’s Barbecue Pit is a family-owned American barbecue restaurant chain based in Dallas, Texas. Travis Dickey established the restaurant in 1941. The restaurant is the largest barbecue franchise in the United States. The restaurant began franchising in 1994. By January 2017, Dickey’s Barbecue Pit Franchise had more than 560 restaurant locations in 43 states.",Restaurant,+62 428-111-2962,Resto,"Complete equipment and cooking utensils, banners, employee training, business finance, Location and venue rental for 1 year, media promotion","Rp108,000,000",3,All ages,"Rp281,250,000",2,-7%,"Rp100,000,000",7500,25.00%,"Rp150,000",1,,
16,rafa rental world,"Jl. Pahlawan, Kota Surabaya, 98765","rafa rental world is a baby equipment and children's toy rental service that was established in 2009 in the city of yogyakarta, with an initial collection of 15 units of goods. by bringing the concept of a home-based business, rafa rental world is still managed professionally with a strong motivation to provide the best service. with services oriented to customer satisfaction, rafa rental world has won the trust of customers from various circles. at the end of 2011, the collection of goods in rafa rental world had exceeded 350 units and at the end of 2012 the toy collection reached 600 units. until now, the collection of rafa rental world has reached more than 1000 items.",Services & Repair,+62 802-873-1936,Store,"Supply of goods, web (administration, updating product availability, checking rental orders), bookkeeping applications, training, supervision, monitoring, consultation.","Rp150,000,000",2,Elementary school student,"Rp150,000,000",4,-11%,"Rp133,000,000",10000,10.00%,"Rp150,000",1,,
17,Krispy kreme,"Jl. Raya, Kota Semarang, 98765","Krispy Kreme Doughnuts, Inc., together with its subsidiaries, operates as a branded retailer and wholesaler of doughnuts, coffee and other complementary beverages, and treats and packaged sweets. The company operates through four segments: Company Stores, Domestic Franchise, International Franchise, and KK Supply Chain. It owns and franchises Krispy Kreme stores. As of August 01, 2018, the company operated approximately 1,400 retail shops in 32 countries. It also produces doughnut mixes and doughnut-making equipment. The company was founded in 1937 and is headquartered in Winston-Salem, North Carolina.",Fast Food,+62 813-741-0494,Stand,"65 days on-the job training, 15 days classroom training, Complete Cooking utensils, Brand Stickers and Wallpaper, Opening Banners and Banners, First Sales Raw Materials, Marketing Support","Rp100,000,000",3,Elementary school student,"Rp900,000,000",5,-10%,"Rp90,000,000",100000,10%,"Rp30,000",3,,
18,klinik jelita,"Jl. Surya, Kota Jakarta, 54321",jelita beauty clinic opens business opportunities in the field of health and body care / beauty with a franchise / franchise / partnership system,Beauty & Healthcare,+62 129-184-0371,Kios,"Consultation, training, assistance, Location and venue rental for 1 year, banners, employee training, business finance","Rp95,000,000",3,Workers,"Rp450,000,000",7,-37%,"Rp60,000,000",6000,10.00%,"Rp150,000",5,,
19,Laziz pizza,"Jl. Raya, Kota Surabaya, 43210","Laziz Pizza™ is a proud Indian pizza chain & one of the leading Pizza Chain in India. Since its inception in 2013 Laziz has gone from strength to strength, and today the brand has a loyal following of clients. Today, Laziz known for its Taste & Variety of Pizza. Laziz Pizza has a wide Product portfolio of pizza to tempt any customers’ taste buds. The franchise has been running for five years, and has also built up vast following and a number of satisfied investors and franchisees. There is a strong franchisee support system that’s designed to ensure that every franchisee feels supported throughout the process. This includes marketing support, operations, supply-chain and restaurant development.",Restaurant,+62 595-923-0828,Resto,"Rental of location and venue for one year, decoration, complete equipment and cooking utensils, banners, employee training, business finance","Rp102,000,000",3,High school students,"Rp2,400,000,000",2,-3%,"Rp99,000,000",100000,8.00%,"Rp100,000",3,,
20,shake a shake,"Jl. Pahlawan, Kota Medan, 12345","Along with the development of the culinary business of chicken and boba-based food and beverages, as well as the trend of franchise business that is increasing from year to year, shake a shake is here to offer the concept of food and beverages that are served with fun and uniqueness different from the others.",Restaurant,+62 084-552-8855,Resto,"Rental of location and venue for one year, decoration, complete equipment and cooking utensils, banners, employee training, business finance","Rp68,000,000",2,Junior high school students,"Rp1,500,000,000",3,3%,"Rp70,000,000",100000,5.00%,"Rp50,000",6,,
21,Bari-uma ramen,"Jl. Raya, Kota Semarang, 67890","BARI-UMA special are our soups that we send directly from Japan, our noodles made fresh in each shop, and our perfectly grilled char-siu pork, and these are also the reasons why we would like persons all across the globe to enjoy our ramen. BARI-UMA was established in 2003 in Hiroshima. Currently, we have 65 stores in Japan, Singapore, Malaysia, Indonesia, Hong Kong and are aiming for 200 stores globally within 5 years.",Restaurant,+62 043-311-2990,Resto,"Rental of location and venue for one year, decoration, complete equipment and cooking utensils, banners, employee training, business finance","Rp240,000,000",2,Workers,"Rp567,000,000",4,-4%,"Rp230,000,000",60000,7.00%,"Rp45,000",3,,
22,gocheers,"Jl. Raya, Kota Semarang, 43210","gocheers is a cheese tea or cheese tea brand that is currently developing a partnership business with a franchise concept that is easy, inexpensive, and can be run by anyone. our Product is refreshing cheese tea with various variants. gocheese cheese tea franchise package in the form of a booth or stand with prices starting at 12 million.",Beverages,+62 230-934-4955,Stand,"Portable Booth, Straws, Flasks, Shakers, Jars, Liquid Bottles, Stainless Cokes, Cheese Graters, Knives, Water Holder, Irus, Sloki, Kanebo, Scales, Cup Sealer, Banner Stand, Menu Paper","Rp25,000,000",1,College students,"Rp30,000,000",6,-20%,"Rp20,000,000",20000,3.00%,"Rp25,000",2,,
23,Eazi-apps,"Jl. Merdeka, Kota Bandung, 12345","Build revenue generating apps with our ‘drag and drop’ platform. Simply select your features, add content and update the appearance. Access the Eazi-Apps platform and create powerful mobile apps without any technical experience. You can generate a serious income from building mobile apps for businesses.","Consulting
",+62 094-568-2386,Kios,"Business strategy consultations, Market analysis reports, Legal advisory service, Financial planning assistance
Staff training programs, Customized consulting sessions, Branding and marketing strategies, Access to industry experts, Networking opportunities, Regulatory compliance guidance","Rp94,600,000",2,workers,"Rp210,000,000",5,-15%,"Rp80,000,000",3000,35.00%,"Rp100,000",2,,
24,batik benang ratu,"Jl. Merdeka, Kota Jakarta, 54321","Benat Ratu is a company engaged in retail sales of batik and accessories. Founded in 2015, this company has become one of the pioneers and leaders in the batik industry in Indonesia. With a commitment to preserving traditional Indonesian culture, Benang Ratu creates and markets unique and high quality batik collections at affordable prices.",Fashion,+62 645-949-4697,Outlet,"Training, folklore themed shop, batik education trainee, uniform + employee ID lanyard, grand opening companion, 6 month business guidance, 5 year business collaboration","Rp300,000,000",7,All ages,"Rp750,000,000",1,17%,"Rp350,000,000",50000,15.00%,"Rp50,000",2,,
25,Baskin-robbins,"Jl. Surya, Kota Bandung, 12345","Baskin Robbins is an American ice cream network that has numerous stores in the majority of countries. It was set up in 1945 by Burt Buskin and Irv Robbins. The company focuses on the Production of ice cream and other delicious frozen treats. From then on the company has gained enormous popularity. Nowadays, there are over 7,700 stores worldwide, and the brand doesn't plan to stop its expansion.",Beverages,+62 761-299-8637,Stand,"Portable Booth, Straws, Flasks, Shakers, Jars, Liquid Bottles, Stainless Cokes, Cheese Graters, Knives, Water Holder, Irus, Sloki, Kanebo, Scales, Cup Sealer, Banner Stand, Menu Paper","Rp275,000,000",8,Elementary school student,"Rp283,500,000",2,0%,"Rp275,000,000",45000,3.00%,"Rp70,000",3,,
26,Apotek Pas,"Jl. Merdeka, Kota Jakarta, 67890","Apotek pas is a pharmacy partnership with the fastest growth in Indonesia. 16 branches in 6 months since partnering. Our focus is on helping each partner have a business with a high level of profit. Apotek pas is proven to have a superior system, a strong brand, loyal customers with complete and affordable investment. the only one in Indonesia, HR guarantees and licensing are handled by central management",Beauty & Healthcare,+62 877-647-4700,Store,"medicine stock, pharmacy licensing, employee recruitment assistance, non-drug logistics, soft opening and grand opening","Rp80,900,000",3,Junior high school students,"Rp25,200,000",6,-38%,"Rp50,000,000",6000,7.00%,"Rp15,000",4,,
27,Jeff,"Jl. Merdeka, Kota Semarang, 12345","Jeff is a company that seeks to offer The Good Good Life through its daily service businesses. Its franchise models use technology with traditional services to provide a unique experience that’s adapted to today's consumer. The company is currently present in 40 countries with more than 1,200 franchisees.",Beauty & Healthcare,+62 714-100-7577,Kios,"specialist support, branding and promotion, proprietary tools to manage business, smart investment","Rp108,000,000",2,High school students,"Rp67,500,000",4,-7%,"Rp100,000,000",7500,6.00%,"Rp75,000",2,,
28,Pineleaf Premium Care,"Jl. Diponegoro, Kota Semarang, 12345","Pineleaf is a premium brand engaged in Product development and retail sales of cleaning soap and shoe care which was established on March 7 2015 in Surakarta. We are committed to always producing our Products with natural ingredients. Now, Pineleaf Products are widely used to clean shoes, bags, hats, even sofas and mattresses. To date, Pineleaf partners are in several cities, such as Jakarta, Semarang, Surabaya, Medan, Balikpapan, Manado and other cities.",Cleaning services,+62 738-601-2382,Kios,"booth, training, supervision, employee uniforms, complete raw materials, cash register, 21 inch LCD TV, Pineleaf brand license, grand opening promotion materials","Rp55,100,000",1,College students,"Rp244,652,800",6,-27%,"Rp40,000,000",43688,4.00%,"Rp70,000",2,,
29,Bb-center,"Jl. Raya, Kota Jakarta, 98765","""BB-Center"" is a unique world level structured Product fully meeting any customer’s needs in the cryptoeconomy field, which allows the business to be maximally efficient and high-yielding (up to 1,000% annually and more) with minimal costs.",Services & Repair,+62 098-483-0023,Kios,"produk training, regular remote training, sales programs training, sales skills training, one-on-one franchisee manager, assistance of local market info collection, assistance of sales plan and strategy, ready to use sales script, B2B inquiries, marketing materials, succesful case sharing","Rp57,200,000",2,Below elementary students,"Rp657,580,000",6,22%,"Rp70,000,000",32879,2.00%,"Rp200,000",5,,
30,Rex Express,"Jl. Raya, Kota Semarang, 43210","Rex Express provides document and package delivery services via air, sea and land transportation to domestic and international destinations. Currently, Rex Express is opening agent partnerships as expedition, cargo and drop point delivery partners. To become an express partner, just start with 4 million.",Manufacturer & Expedition,+62 947-954-7874,Kios,"scales, banners, employee uniforms, training products and programs, brochures, desktop programs, promotional materials, CSC operating standards","Rp70,000,000",3,All ages,"Rp25,794,720",2,0%,"Rp70,000,000",11942,3.00%,"Rp12,000",6,,
31,Cartridge world,"Jl. Surya, Kota Jakarta, 98765","Cartridge World franchise provides printing service; the company sells ink and toner cartridges, printers, and offer quality repair services.The brand was founded 1997 in Adelaide, Australia. It has grown to one of the largest retailers of cartridges worldwide so far. The first Cartridge World franchise for sale was offered in 1997; today the chain includes 558 franchise enterprises in the USA and 35 other countries. The company was included in Franchise 500 list, Top 100 Global Franchises, '50 Most Admired Companies'. Cartridge world office and printing service franchise offers promising opportunities together with attractive franchise cost & fees to their franchisees.",Services & Repair,+62 807-538-5073,Outlet,"produk training, regular remote training, sales programs training, sales skills training, one-on-one franchisee manager, assistance of local market info collection, assistance of sales plan and strategy, ready to use sales script, B2B inquiries, marketing materials, succesful case sharing","Rp61,400,000",4,Junior high school students,"Rp617,010,000",5,-19%,"Rp50,000,000",41134,5.00%,"Rp75,000",4,,
32,Aximo,"Jl. Surya, Kota Semarang, 98765","Aximo opens a tutoring franchise investment for elementary, middle and high school with special learning methods. With this aximo learning method, students are expected to be able to balance right and left brain functions. For those who are interested in a tutoring business, Aximo is the right choice",Education,+62 229-543-7680,Kios,"Rental of location and venue for one year, along with interior decoration, complete teaching equipment and supplies, promotional banners, employee training, human resources, teaching and lesson materials.","Rp63,500,000",3,Middle-aged,"Rp939,510,000",1,26%,"Rp80,000,000",31317,6.00%,"Rp100,000",5,,
33,Dunkin donuts,"Jl. Raya, Kota Medan, 98765","Dunkin' Donuts is an American global doughnut company and coffeehouse based in Canton, Massachusetts. It was founded in 1950 by William Rosenberg in Quincy, Massachusetts and has become one of the largest coffee and baked goods chains in the world, with more than 12,000 restaurants in 36 countries. The chain's Products include doughnuts, bagels, other baked goods, and a variety of hot and iced beverages.",Fast Food,+62 244-616-1377,Stand,"Exclusive Booth, High-Pressure Stove, Complete Cooking Equipment, Brand Sticker and Wallpaper, Opening Banner and Banner, First Sale Raw Materials, Marketing Support (Instagram Ads, Influencer, Blogger)","Rp180,000,000",9,Middle-aged,"Rp405,000,000",2,6%,"Rp190,000,000",30000,6.00%,"Rp45,000",5,,
34,Burger Brambang,"Jl. Merdeka, Kota Medan, 54321","Burger Brambang is a premium burger that uses 100% Australian beef. We use German technology to produce quality meat that is consistent and delicious at first bite. Burger Brambang is here for those of you who want a delicious and filling burger at an affordable price. Burger Brambang is part of brambang.com. Currently, it has a network of outlets in Jakarta, including Rasuna Garden Food Street, Mangga Dua Mall, and ITC Mangga Dua.",Fast Food,+62 032-400-9748,Stand,"Exclusive Booth, High-Pressure Stove, Complete Cooking Equipment, Brand Sticker and Wallpaper, Opening Banner and Banner, First Sale Raw Materials, Marketing Support (Instagram Ads, Influencer, Blogger)","Rp67,700,000",3,Middle-aged,"Rp63,720,000",5,-16%,"Rp57,000,000",17700,2.00%,"Rp30,000",6,,
35,Arumanis rainbow,"Jl. Merdeka, Kota Semarang, 12345","Arumanis Rainbow is a unique store preparing fresh spun gourmet cotton candy (made with organic cane sugar and no artificial dyes) in 50 rotating flavors with fun toppings and a touch of whimsy. The company was founded iv 2009. It also provides franchising opportunities. As of 2018, the company operates 1000+ franchises in Indonesia.",Fast Food,+62 977-483-6372,Stand,"Exclusive Booth, High-Pressure Stove, Complete Cooking Equipment, Brand Sticker and Wallpaper, Opening Banner and Banner, First Sale Raw Materials, Marketing Support (Instagram Ads, Influencer, Blogger)","Rp69,800,000",2,Workers,"Rp11,746,800",5,-18%,"Rp57,000,000",9036,2.00%,"Rp13,000",5,,
36,Kaget Steak,"Jl. Diponegoro, Kota Bandung, 12345","Surprised, Steak and Blend is not only a modern restaurant business that offers customers food menus that taste extraordinary. However, this restaurant business also wants to open up opportunities for collaboration and help anyone who wants to build a culinary business using a franchise system",Restaurant,+62 455-825-6834,Resto,"Rental of location and venue for one year, decoration, complete equipment and cooking utensils, banners, employee training, business finance","Rp175,000,000",4,Married people,"Rp57,006,000",4,-14%,"Rp150,000,000",9501,4.00%,"Rp50,000",3,,
37,Arabica coffe house,"Jl. Diponegoro, Kota Bandung, 98765","Arabica coffee house serves only 100% Arabica coffee beans. We also make all our food and pastry items in house for consistency and quality. We are known for our flavored drip coffees and also our Café Mocha featuring specialty beverages like Funky Monkey, Almond Joy, Twix and Nutella",Beverages,+62 881-435-6765,Stand,"Portable Booth, Straws, Flasks, Shakers, Jars, Liquid Bottles, Stainless Cokes, Cheese Graters, Knives, Water Holder, Irus, Sloki, Kanebo, Scales, Cup Sealer, Banner Stand, Menu Paper","Rp74,000,000",4,All ages,"Rp135,000,000",2,8%,"Rp80,000,000",30000,3.00%,"Rp50,000",3,,
38,Domo (Dokter Mobil),"Jl. Diponegoro, Kota Medan, 54321","Domo is a provider of car repair services in Indonesia with the latest machines. In this way, the service process can be carried out quickly, accurately and provide perfect results. Domo already has a wide market of customers. and currently Domo is opening up opportunities for collaboration with the franchise system",Services & Repair,+62 500-057-8737,Kios,"produk training, regular remote training, sales programs training, sales skills training, one-on-one franchisee manager, assistance of local market info collection, assistance of sales plan and strategy, ready to use sales script, B2B inquiries, marketing materials, succesful case sharing","Rp100,000,000",3,Middle-aged,"Rp100,202,400",7,-25%,"Rp75,000,000",9278,3.00%,"Rp90,000",4,,
39,Realtyplus,"Jl. Pahlawan, Kota Jakarta, 43210","When you buy a franchise with Realtyplus , you will get the opportunity to have your own business or company at low prices. You will have knowledge and experience years consolidated that has given excellent results over time. You will have a new open door that leads you to new achievements for your life.",Business & Furniture,+62 770-330-0536,Store,"Comprehensive Training Programs, Exclusive Product Lines and Suppliers, Store Design and Visual Merchandising Assistance, Inventory Management Solutions, Marketing and Advertising Support, E-commerce Integration, Financial and Business Planning Assistance","Rp78,200,000",2,Elementary school student,"Rp217,944,000",7,-23%,"Rp60,000,000",8072,6.00%,"Rp150,000",3,,
40,Coolio Barbershop,"Jl. Diponegoro, Kota Medan, 98765","Initially our business was a salon which was founded in 2011 with a special haircut service for the majority of male guests, until mid-2015 we changed our business model to a barbershop. It turns out that changing our business model from a salon to a barbershop has received a positive response from the people of Surabaya. and in mid-2015 Coolio started developing its business in the form of a franchise. To date, Coolio has succeeded in opening 22 outlets spread across Surabaya, Malang, Sidoarjo, Mojokerto, Balikpapan, Makasar and Jayapura.",Barber,+62 539-908-9607,Kios,"Rental of location for one year, Venue Renovation, AC, TV, Neon Box, Clipper, 2 Barber Chairs, Waiting Chair, Cabinet, Clipper, Cutting Scissors, Thinning Scissors, Thinning Scissors, Comb Set, Hair Spray, Mirror, Hairbrush, Other Tools, Uniform, Vacuum Cleaner, Brochure, Banner, Hair Paint, Pomade, Vitamins, Hair tonic, Startup Management","Rp40,300,000",3,Middle-aged,"Rp14,908,000",2,-1%,"Rp40,000,000",3727,5.00%,"Rp20,000",4,,
41,Orangetheory fitness,"Jl. Surya, Kota Bandung, 54321","Orangetheory franchise is an international fitness chain which started in the USA and expanded to 21 countries. It specializes in group and personal training workouts. Owning an Orangetheory fitness franchise means seizing a vast range of Orangetheory fitness franchise opportunities. Such as many years of experience in the industry, a set of trainings for a franchisee, a reasonable cost and profit ratio. How to start an Orangetheory franchise? Choose the format among offered for sale, analyze Orangetheory franchise investment information including all fees required to pay for starting the franchise, study the franchise requirements and match them with your needs and ambitions.",Beauty & Healthcare,+62 424-533-3358,Kios,"Free Online Cashier 1 Year, HR Attendance System, Android Cashier 1 Pcs, Cctv 4pcs, Basic to Advance Training for Doctors and Owners, Maximum Training 4 Therapists, Product Showcase, Facial Bed 4 Pcs, Trolley 5 Pieces, Brochure 1000 Pcs, Member Card 1000 Pcs, Magnifying Lamp 2 Pcs, Premium Quality Modern Beauty Care Machine and Complete 8 Function ","Rp82,400,000",2,Elementary school student,"Rp317,475,000",2,3%,"Rp85,000,000",7055,5.00%,"Rp150,000",6,,
42,Jari Hitung Cepat Indonesia,"Jl. Raya, Kota Medan, 43210","JHCI is a non-formal educational institution that teaches new methods for calculating mathematics in an easy, fast, precise and fun way. This method was created in 1953 and continues to be developed to this day and has been registered with the copyright of the Department of Law and Human Rights of the Republic of Indonesia. JHCI is the only educational institution using the finger method that has been selected to receive special assistance and training in business development from the Ministry of Trade and Industry of the Republic of Indonesia. To speed up the process of disseminating and using this method in student learning, we invite those of you who have integrity and business vision and educate the nation's children to join us to become successful entrepreneurs in the field of education through the partnership system that we have developed.",Education,+62 952-399-0338,Kios,"Rental of location and venue for one year, along with interior decoration, complete teaching equipment and supplies, promotional banners, employee training, human resources, teaching and lesson materials.","Rp84,500,000",3,Workers,"Rp2,781,360,000",1,7%,"Rp90,000,000",30904,5.00%,"Rp150,000",12,,
